5547,49,0,13,15,40,31,22,23,49,45,29,10,7,20,43,6,25,5,16,14,32,26,28,48,19,41,2,8,38,1,39,33,21,9,24,12,47,30,46,11,17,35,36,37,27,18,34,3,4,42
5604,49,0,42,4,3,34,18,27,37,36,35,17,11,46,30,47,12,24,9,33,39,1,38,8,2,41,44,19,48,28,26,32,14,16,5,25,6,43,20,7,10,29,45,49,23,22,31,40,15,13
5621,49,0,13,15,40,31,22,23,49,45,29,10,7,20,43,6,25,5,16,14,32,26,28,48,19,44,41,2,8,38,1,39,33,21,9,24,12,47,30,46,11,17,35,36,27,18,34,3,4,42
5555,49,0,42,4,3,34,18,27,37,36,35,17,11,46,30,47,12,24,9,21,33,39,1,38,8,2,41,44,19,48,28,26,32,14,16,5,25,6,43,20,7,10,29,45,49,23,31,40,15,13
5624,50,0,42,4,3,34,18,27,37,36,35,17,11,46,30,47,12,24,9,21,33,39,1,38,8,2,41,44,19,48,28,26,32,14,16,5,25,6,43,20,7,10,29,45,49,23,22,31,40,15,13
5012,38,0,13,15,35,17,36,37,27,18,34,4,9,24,47,30,39,33,8,38,41,44,19,48,28,26,16,14,25,6,43,20,29,45,49,23,31,40,42
5132,37,0,42,4,34,18,27,37,36,35,46,30,47,39,33,24,9,21,38,41,44,19,48,28,26,32,14,25,43,20,29,45,49,23,22,31,40,15
5623,49,0,42,4,3,34,18,27,37,36,35,17,11,46,30,47,12,24,9,21,33,39,1,38,8,2,41,44,19,48,28,26,32,14,5,25,6,43,20,7,10,29,45,49,23,22,31,40,15,13
5591,48,0,13,15,40,31,22,23,49,45,29,10,7,20,43,6,25,5,16,14,32,26,28,48,19,44,41,8,38,1,39,33,21,9,24,12,47,30,46,11,35,36,37,27,18,34,3,4,42
5610,49,0,42,4,3,18,27,37,36,35,17,11,46,30,47,12,24,9,21,33,39,1,38,8,2,41,44,19,48,28,26,32,14,16,5,25,6,43,20,7,10,29,45,49,23,22,31,40,15,13
