5326,48,0,19,20,40,26,6,32,25,8,35,22,10,47,23,48,36,15,44,2,34,27,17,9,38,49,30,16,46,7,21,39,1,12,14,11,5,33,37,42,4,18,41,45,28,31,43,13,24
5334,49,0,24,13,43,31,28,45,41,18,4,42,37,33,5,11,14,12,1,39,21,7,46,16,30,9,17,38,29,49,36,15,44,34,2,48,23,47,10,22,35,8,25,32,6,26,40,20,19,3
5397,49,0,3,19,20,40,26,6,32,25,8,35,22,10,47,23,48,36,15,44,2,34,27,17,9,38,49,29,16,30,46,7,21,39,1,12,14,11,33,37,42,4,18,41,45,28,31,43,13,24
5395,49,0,3,19,20,40,26,6,32,25,8,35,22,10,47,23,48,36,15,44,2,34,27,17,9,38,49,29,16,30,46,7,21,39,1,12,14,11,5,33,37,42,4,18,41,45,28,31,43,24
5368,49,0,24,13,43,31,28,45,41,18,4,42,37,33,5,11,14,12,1,39,21,7,46,30,16,29,49,38,9,17,27,34,2,44,15,36,48,47,10,22,35,8,25,32,6,26,40,20,19,3
5275,48,0,24,13,43,31,28,45,41,18,4,42,37,33,5,11,14,12,1,39,21,7,46,30,16,29,49,38,9,17,27,34,2,44,15,36,48,10,22,35,8,25,32,6,26,40,20,19,3
5397,50,0,24,13,43,31,28,45,41,18,4,42,37,33,5,11,14,12,1,39,21,7,46,30,16,29,49,38,9,17,27,34,2,44,15,36,48,23,47,10,22,35,8,25,32,6,26,40,20,19,3
5396,49,0,24,13,43,31,28,45,41,18,4,42,37,33,5,11,14,12,1,39,21,7,46,30,16,29,49,38,9,17,27,34,2,44,36,48,23,47,10,22,35,8,25,32,6,26,40,20,19,3
5378,49,0,24,13,43,31,28,45,41,18,4,42,37,33,5,14,12,1,39,21,7,46,30,16,29,49,38,9,17,27,34,2,44,15,36,48,23,47,10,22,35,8,25,32,6,26,40,20,19,3
5334,49,0,24,13,43,31,28,45,41,18,4,42,37,33,5,11,14,12,1,39,21,7,46,30,16,29,49,38,9,17,27,34,44,15,36,48,23,47,10,22,35,8,25,32,6,26,40,20,19,3
5334,49,0,3,19,20,40,26,6,32,25,8,35,22,10,47,23,48,36,15,44,2,34,27,17,9,38,29,16,30,46,7,21,39,1,12,14,11,5,33,37,42,4,18,41,45,28,31,43,13,24
5366,48,0,24,13,43,31,28,45,41,18,4,42,37,33,5,11,14,12,39,7,46,30,16,29,49,38,9,17,27,34,2,44,15,36,48,23,47,10,22,35,8,25,32,6,26,40,20,19,3
5382,49,0,24,13,43,31,28,45,41,18,4,42,37,33,5,11,14,12,39,21,7,46,30,16,29,49,38,9,17,27,34,2,44,15,36,48,23,47,10,22,35,8,25,32,6,26,40,20,19,3
