5539,49,0,28,26,31,5,48,34,30,9,49,32,24,1,23,22,7,13,12,3,29,47,44,20,16,33,39,36,17,4,19,27,6,40,21,10,15,46,43,42,14,2,37,45,38,8,18,11,41,25
5480,49,0,28,26,31,5,48,34,30,9,49,32,24,1,23,22,7,13,12,35,29,47,44,20,16,33,39,36,17,4,19,27,6,40,21,10,15,46,43,42,14,2,37,45,38,8,18,11,41,25
5444,48,0,25,41,11,18,8,38,45,37,2,14,42,43,46,15,10,21,40,6,27,19,4,17,36,39,33,16,20,44,47,29,35,12,22,7,13,1,24,32,49,9,30,34,48,5,31,26,28
5541,50,0,25,41,11,18,8,38,45,37,2,14,42,43,46,15,10,21,40,6,27,19,4,17,36,39,33,16,20,44,47,29,3,35,12,13,7,22,23,1,24,32,49,9,30,34,48,5,31,26,28
5335,46,0,25,41,11,18,8,38,45,37,2,14,42,15,46,43,40,6,21,10,26,19,4,17,36,39,33,16,44,20,35,12,13,7,22,23,1,24,32,49,9,30,34,48,5,31,28
5398,48,0,28,26,31,5,48,34,30,9,49,32,24,1,23,22,7,13,12,35,29,47,44,20,16,33,39,36,17,4,27,6,40,21,10,15,46,43,42,14,2,37,45,38,8,18,11,41,25
5479,48,0,28,26,31,5,48,34,30,9,49,32,24,1,23,22,7,13,12,29,47,44,20,16,33,39,36,17,4,19,27,6,40,21,10,15,46,43,42,14,2,37,45,38,8,18,11,41,25
5479,48,0,25,41,11,18,8,38,45,37,2,14,42,43,46,15,10,21,40,6,27,19,4,17,36,39,33,16,20,44,47,29,35,12,13,7,22,23,24,32,49,9,30,34,48,5,31,26,28
5419,48,0,25,41,11,18,8,38,45,37,2,14,42,43,46,15,10,21,40,6,27,19,4,17,36,39,33,16,20,44,47,29,35,12,13,7,22,23,1,32,49,9,30,34,48,5,31,26,28
5443,48,0,28,26,31,5,48,34,30,9,49,32,24,1,23,22,7,13,12,35,29,47,44,20,16,33,39,36,17,4,19,27,6,40,21,10,15,46,43,42,14,2,37,45,38,8,18,11,25
5471,48,0,25,41,11,18,8,38,45,37,2,14,42,43,46,15,10,21,40,6,27,19,4,17,36,39,33,16,20,44,47,29,35,12,13,7,22,23,1,24,32,9,30,34,48,5,31,26,28
5370,48,0,28,26,31,5,48,34,30,9,49,32,24,1,23,22,7,13,12,35,29,47,44,20,16,33,39,36,17,4,19,27,6,40,21,10,46,15,42,14,2,37,45,38,8,18,11,41,25
5540,48,0,28,26,31,5,48,34,30,9,49,32,24,23,22,7,13,12,35,3,29,47,44,20,16,33,39,36,17,4,19,27,6,40,21,10,15,46,43,42,14,2,37,45,38,8,18,41,25
