2432,4,0,30,1,23
2437,6,0,23,31,27,8,32
15729,28,0,24,5,31,9,32,8,30,1,21,19,20,22,2,26,6,27,7,29,16,18,17,15,14,12,28,3,23
21273,33,0,24,5,25,1,30,8,32,10,9,31,2,21,19,20,22,7,27,6,26,11,13,12,14,15,17,18,16,29,4,28,3,23
1966,5,0,30,27,31,23
2045,4,0,27,31,23
2277,4,0,23,30,27
1940,4,0,23,7,32
1618,5,0,32,30,31,23
1315,4,0,32,31,23
1526,4,0,32,30,23
1718,4,0,23,3,32
2235,4,0,29,16,23
2021,4,0,23,27,32
1774,5,0,32,27,30,23
1542,5,0,32,27,31,23
1758,6,0,32,30,27,31,23
1358,4,0,24,31,23
2413,4,0,23,17,30
2070,4,0,23,1,32
1822,5,0,23,30,1,32
1846,5,0,32,8,30,23
1826,4,0,23,31,30
1656,5,0,32,29,31,23
2673,4,0,23,13,32
1460,4,0,29,32,23
1299,4,0,32,31,24
2667,4,0,20,19,23
1696,5,0,29,16,32,23
1542,4,0,25,32,23
2666,4,0,31,2,23
1961,4,0,25,5,23
